,broker,count,bamount,bcount,samount,scount,top3
678,华泰证券股份有限公司上海黄浦区来福士广场证券营业部,1,402.6,1,0.0,0,氯碱化工
679,湘财证券股份有限公司沈阳绥化西街证券营业部,4,853.86,2,1015.3,2,"原尚股份,大理药业,台华新材"
680,国金证券股份有限公司上海浦东新区芳甸路证券营业部,3,382.62,1,2322.18,2,"梅轮电梯,二六三,氯碱化工"
681,中信证券股份有限公司上海安亭证券营业部,2,6241.17,1,243.54,1,"士兰微,氯碱化工"
682,平安证券股份有限公司广东分公司,1,0.0,0,175.0,1,氯碱化工
683,东海证券股份有限公司常州劳动西路证券营业部,1,0.0,0,162.24,1,氯碱化工
684,信达证券股份有限公司北京北辰东路证券营业部,1,2187.64,1,0.0,0,金域医学
685,中国中投证券有限责任公司扬州邗江北路证券营业部,2,0.0,0,2006.24,2,"天目湖,金域医学"
686,华泰证券股份有限公司无锡解放北路证券营业部,2,2021.13,1,1652.65,1,"万东医疗,金域医学"
687,方正证券股份有限公司成都高升桥路证券营业部,2,1178.79,2,0.0,0,"甘肃电投,天目湖"
688,华鑫证券有限责任公司深圳分公司,2,27.47,2,0.0,0,"天目湖,铭普光磁"
689,中国中投证券有限责任公司广州滨江东路证券营业部,1,6.23,1,0.0,0,天目湖
690,中信证券股份有限公司东阳中山路证券营业部,2,0.0,0,256.88,2,"钧达股份,天目湖"
691,信达证券股份有限公司阜新阜蒙证券营业部,2,58.23,2,0.0,0,"掌阅科技,阿石创"
692,平安证券股份有限公司深圳商报路奥林匹克大厦证券营业部,1,0.0,0,3.77,1,天目湖
693,中国中投证券有限责任公司重庆民权路证券营业部,1,22.6,1,0.0,0,掌阅科技
694,平安证券股份有限公司长沙五一大道证券营业部,1,0.0,0,3.77,1,天目湖
695,华安证券股份有限公司安庆龙山路证券营业部,1,0.0,0,1.97,1,掌阅科技
696,申万宏源证券有限公司广州天河北路证券营业部,1,0.0,0,3.77,1,天目湖
697,华鑫证券有限责任公司北京菜市口大街证券营业部,3,3489.88,2,2111.49,1,恒银金融
698,华福证券有限责任公司莆田为民路证券营业部,1,1380.53,1,0.0,0,恒银金融
699,申万宏源证券有限公司泸州广凤路证券营业部,1,1357.9,1,0.0,0,恒银金融
700,中信证券股份有限公司杭州文三路证券营业部,1,6524.14,1,0.0,0,士兰微
701,财通证券股份有限公司,1,740.76,1,0.0,0,格力地产
702,江海证券有限公司哈尔滨香山路证券营业部,1,0.0,0,5805.4,1,士兰微
703,中信证券股份有限公司,1,444.16,1,0.0,0,格力地产
704,开源证券股份有限公司,1,174.54,1,0.0,0,格力地产
705,中银国际证券有限责任公司牡丹江西平安街证券营业部,1,0.0,0,4986.74,1,士兰微
706,中国民族证券有限责任公司,1,157.87,1,0.0,0,格力地产
707,东方证券股份有限公司抚顺裕民路证券营业部,1,0.0,0,3481.7,1,士兰微
708,湘财证券股份有限公司,1,145.89,1,0.0,0,格力地产
709,华鑫证券有限责任公司西安阎良红安路证券营业部,3,3400.67,3,0.0,0,"九安医疗,海马汽车,乐心医疗"
710,华泰证券股份有限公司深圳龙岗黄阁北路证券营业部,1,4648.0,1,0.0,0,供销大集
711,兴业证券股份有限公司山东分公司,1,1101.49,1,0.0,0,新华制药
712,国泰君安证券股份有限公司哈尔滨尚志大街证券营业部,1,656.61,1,0.0,0,供销大集
713,万联证券股份有限公司深圳福华一路证券营业部,2,1221.92,2,0.0,0,东方市场
714,万联证券股份有限公司南昌丰和中大道证券营业部,1,1278.22,1,0.0,0,海马汽车
715,湘财证券股份有限公司义乌篁园路证券营业部,3,614.2,3,0.0,0,"供销大集,世纪天鸿,亚士创能"
716,光大证券股份有限公司宁波解放南路证券营业部,3,2122.23,3,0.0,0,"东方市场,甘肃电投"
717,东方证券股份有限公司上海浦东新区张杨路证券营业部,2,0.0,0,12785.1,2,"英飞特,供销大集"
718,东兴证券股份有限公司北京北四环中路证券营业部,1,0.0,0,10082.5,1,供销大集
719,财达证券股份有限公司邯郸水院北路证券营业部,2,0.0,0,259.49,2,东方市场
