code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
300448,浩云科技,0.9,-5.26,14.44,6588.39,15.48,14.14,43.305,465.6914,5.7714,4.4274,81.3118,3.4927,103.0721,1.0012,359.5685,20.5613,15.4754,139.38,82.1391,-5.2632,139.38
300449,汉邦高科,0.7,-34.58,8.67,4545.17,-19.86,9.48,35.2473,479.1915,6.7778,1.5408,233.6449,4.2626,84.4555,0.6414,561.2722,-14.8698,-19.8585,98.3965,25.4089,-34.5794,98.3965
300450,先导智能,1.74,35.57,27.34,14556.08,122.18,27.15,43.0481,536.1108,3.9419,4.5229,79.595,0.6408,561.7978,0.5183,694.5784,74.8889,122.181,153.6802,133.3219,35.5675,153.6802
300451,创业软件,0.82,-11.83,10.22,4968.17,4.43,11.66,49.4849,425.9716,6.0794,2.11,170.6161,7.3637,48.8885,0.753,478.0876,5.0101,4.4147,73.7898,79.0471,-11.828,73.9444
300452,,,,,,,17.09,34.6444,258.9192,5.5801,13.0104,27.6702,11.0188,32.6714,1.2487,288.2998,8.1562,26.7388,104.9655,71.9489,7.0,104.9655
300453,三鑫医疗,0.73,-10.98,12.65,5187.64,6.71,16.63,34.7671,311.8482,3.9295,4.2788,84.1357,4.588,78.4656,1.2891,279.2646,-3.2142,6.7078,112.5184,55.3028,-10.9756,112.5184
300455,康拓红外,0.49,-5.77,12.84,6129.63,12.84,24.31,42.5337,252.0954,1.8006,1.3097,274.8721,1.983,181.5431,0.5127,702.165,7.9195,12.8442,75.4124,52.273,-5.7692,75.4124
300456,耐威科技,0.63,-26.42,10.76,4763.04,-11.7,27.85,43.3596,170.9739,2.0354,1.4324,251.3264,1.7452,206.2801,0.42200000000000004,853.0806,0.9345,-10.002,116.9479,68.5785,-26.4191,118.9986
300457,赢合科技,0.57,-34.0,15.0,6022.64,19.21,16.49,34.5687,365.1709,3.1211,3.4225,105.1863,2.2673,158.7792,0.9732,369.9137,62.2937,18.6711,106.2122,83.2605,-33.9972,104.6071
300458,全志科技,0.89,-3.26,9.88,12797.54,15.99,10.58,37.3864,1209.4655,7.5591,142.3701,2.5286,4.1126,87.5359,0.9433,381.6389,-2.6167,15.9853,53.3968,49.0904,-3.2609,53.3968
300459,,,,,,,9.57,24.9546,506.4425,1.9111,5.8811,61.213,6.3065,57.083999999999996,1.4326,251.2914,6.1943,53.1423,58.4999,33.3328,-58.6957,52.1955
300460,惠伦晶体,0.27,-32.5,7.84,4136.77,-18.85,9.93,25.7781,416.4171,2.4746,3.4108,105.5471,4.6515,77.3944,1.2637,284.8777,3.0335,-18.8483,79.3852,35.0654,-32.5,79.3852
300461,田中精机,0.37,-27.45,8.53,2201.24,-14.42,20.28,51.3488,108.5339,1.6276,3.755,95.8722,0.8014,449.2139,0.4785,752.3511,-11.7353,-14.4167,52.1669,44.4613,-27.451,52.1669
300462,华铭智能,0.34,-66.0,10.77,4234.95,-18.28,22.63,48.5444,187.0796,1.358,1.4599,246.5922,0.6888,522.6481,0.368,978.2609,3.0511,-18.281,102.4513,72.3292,-66.0,102.4513
300463,迈克生物,1.47,-3.29,17.18,25104.36,10.98,23.56,56.9647,1065.1689999999999,5.7267,2.2033,163.3913,2.0007,179.937,0.8226,437.6368,13.9406,10.9418,152.5698,95.0298,-3.2895,151.8996
300464,,,,,,,8.74,24.8521,411.9029,4.891,3.8537,93.4167,4.034,89.2414,1.4291,251.9068,5.187,-11.0467,82.9862,31.0225,-23.0769,82.9862
300465,高伟达,0.35,-46.97,10.43,4122.89,-37.61,4.39,24.1232,938.6239999999999,7.0393,3.4833,103.3503,16.0726,22.3984,1.4084,255.6092,-5.7541,-37.6084,109.63799999999999,27.6096,-46.9697,109.63799999999999
300466,赛摩电气,0.46,-23.33,8.72,3313.89,-8.48,14.2,39.5488,233.2439,2.9155,0.9613,374.4929,3.0653,117.4436,0.5546,649.1165,-3.6601,-8.4833,78.6262,48.7306,-23.3333,78.6262
300467,,,,,,,34.54,71.1681,171.8679,1.0741,50.9443,7.0665,20578.2375,0.0175,0.7274,494.9134,-3.4792,-1.1013,320.457,221.7078,-81.0945,306.3714
300468,四方精创,0.57,-49.11,8.7,5063.82,-39.92,16.86,44.2021,300.3297,3.0032,4.1913,85.8922,38.0844,9.4527,0.63,571.4286,-11.142000000000001,-39.9194,134.1858,118.9404,-49.1071,134.1858
300469,信息发展,0.65,-7.23,15.27,3824.24,8.21,8.73,40.8173,437.9,6.5553,2.903,124.0096,2.2758,158.1861,0.8871,405.8167,18.8884,3.8716,109.2627,62.1929,-7.234,114.1219
300470,日机密封,1.76,-20.72,14.32,8208.94,-7.67,25.36,57.8322,323.57099999999997,6.0661,2.239,160.7861,1.5935,225.9178,0.5746,626.5228,-9.3598,-7.6697,137.9599,89.2345,-20.7207,137.9599
300471,厚普股份,1.37,-57.0,17.59,17656.56,-1.69,15.86,43.1279,1113.1961,7.5232,3.3741,106.6951,1.4061,256.0273,0.71,507.0423,16.2493,-1.6866,153.986,56.4825,-57.0038,153.986
300472,新元科技,0.43,-37.68,8.91,2522.82,-26.95,11.77,32.3444,214.2721,3.2139,1.9877,181.1139,1.6973,212.1016,0.633,568.7204,11.4477,-26.9498,93.57799999999999,41.7061,-37.6812,93.57799999999999
300473,德尔股份,1.58,-12.04,12.52,13821.41,2.61,19.89,39.0468,694.5694,6.9456,4.8308,74.5218,3.5664,100.9421,0.5917,608.4164,2.9791,1.6704,103.9263,73.7332,-12.0441,106.3541
300474,景嘉微,0.89,8.54,25.45,8895.48,8.24,37.11,74.6598,239.6797,2.3967,2.2105,162.8591,0.9546,377.1213,0.6589,546.3652,17.0337,8.2374,29.166999999999998,30.2738,8.5366,29.166999999999998
300475,聚隆科技,0.6,-42.86,12.93,10534.85,-33.35,27.39,44.4557,384.6115,1.923,4.6857,76.8295,4.8801,73.76899999999999,0.3911,920.4807,-16.0401,-33.3512,81.5784,49.9965,-42.8571,81.5784
300476,胜宏科技,0.98,4.26,13.81,12653.97,22.67,9.85,24.3697,1284.6315,8.5894,2.9452,122.2328,7.527,47.8278,1.247,288.6929,18.2112,22.6662,113.0655,54.2926,4.2553,113.0655
300477,合纵科技,0.92,0.0,15.32,8749.55,16.22,7.82,26.8043,1117.4489999999998,10.3295,2.4327,147.9837,4.7063,76.4932,1.1092,324.5582,22.5993,16.2604,74.8764,57.3813,0.0,75.4911
300478,杭州高新,0.7,-23.91,11.24,4111.43,-10.91,7.58,23.6506,542.3106,8.1342,3.5818,100.5081,10.5311,34.1845,1.5048,239.2344,-5.3485,-10.9138,101.5112,40.1688,-23.913,101.5112
300479,神思电子,0.71,1.43,16.6,4942.49,16.98,14.15,31.8226,349.1949,4.3649,6.7842,53.0645,4.9794,72.2979,1.1558,311.4726,41.1027,16.9751,109.6638,84.059,1.4286,109.6638
300480,光力科技,0.3,-38.78,6.54,2438.71,-28.51,20.2,58.2331,120.714,1.3121,1.0681,337.0471,1.3980000000000001,257.5107,0.3064,1174.9347,-5.1814,-28.4616,56.0758,38.2169,-38.7755,56.2396
300481,濮阳惠成,0.82,54.72,17.42,5748.96,80.66,16.41,31.5508,350.2129,4.3776,7.3605,48.9097,6.3163,56.9954,1.8348,196.2067,-6.7614,80.6644,88.5382,44.2546,54.717,88.5382
300482,万孚生物,1.63,9.4,24.4,12535.15,27.44,29.23,66.7709,428.7798,4.8724,14.3017,25.1718,2.8384,126.83200000000001,1.0685,336.9209,17.3466,27.4363,123.5389,94.8314,9.396,123.5389
300483,沃施股份,0.43,-40.28,7.53,2319.12,-30.17,6.02,25.4984,384.9287,6.2589999999999995,2.3824,151.1081,4.0117,89.7375,1.0113,355.9775,-0.7598,-29.6828,68.3702,32.4386,-40.2778,68.4532
300484,蓝海华腾,1.82,40.0,31.97,7093.91,39.95,22.89,46.5931,309.8211,7.9441,2.4477,147.0768,2.9394,122.47399999999999,1.0542,341.4912,51.335,39.9517,34.6767,50.6164,40.0,34.6767
300485,赛升药业,1.99,-11.56,16.75,20927.4,3.31,34.46,60.7546,607.1383,5.0594,58.5909,6.1443,4.4488,80.9207,0.55,654.5455,2.9316,3.3585,191.1688,170.7338,-11.5556,191.6189
300486,东杰智能,0.3,-42.31,6.81,3632.88,-32.86,9.93,28.261,365.6523,2.6332,1.4761,243.8859,1.629,220.9945,0.5991,600.9014,-7.6903,-32.8551,81.4133,40.1067,-42.3077,81.4133
300487,蓝晓科技,0.73,-27.0,9.6,5085.36,-14.82,17.21,36.8409,295.3734,3.6921,2.6957,133.546,1.9477,184.8334,0.6118,588.4276,3.2637,-14.8231,76.8468,69.7203,-27.0,76.8468
